Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
DJHNKmceHoI,San Gabriel Jalisco  Reparto De Décimas 2020,"Jan 31, 2020",739,5,0.7641,0,0.166,50,6
QA2bDJ4Hkt4,Que Viva Mi San Gabriel Jalisco Pueblito Lindo Adorado!,"Jan 10, 2020",320,5,0.2732,0,0.282,147,1.36
J-4SfQfCeOY,Trailer Fiestas De San Gabriel 2019 | Absa García,"Jan 24, 2019",278,5,0.1352,0,0.344,73,5.48
1NRVl2hVpFY,"Alba, hasta el amanecer en San Gabriel, Jalisco","Jan 15, 2023",28,4,0.0117,0,,90,0
 -DdfkpJyD28,Trailer Fiestas De San Gabriel Jalisco 2020 || Absa Garcia,"Jan 24, 2020",310,4,0.2712,1,0.061,17,0
JCGs99rh7Vc,¿Cómo es tomar clases en Starbucks?,"Feb 26, 2021",266,4,0.1234,0,,22,4.55
a-BfA-60E_I,Se viene México campeón,"Jun 11, 2026",17,4,0.0064,0,0.001,16,0
tbtK4SSRIcA,"Volver a San Gabriel, Jalisco","Jun 24, 2021",241,4,0.0795,0,0.136,70,1.43
msMDNMSYswo,Redmi Airdots 2 o Xiaomi Mi True Wireless Earbuds Basic 2 || Review en Español,"Mar 12, 2021",526,4,0.1274,0,0.027,7,14.29
GJTMzAb2UsQ,Aprendí automatizar mis redes sociales con #python,"Feb 12, 2023",60,4,0.0658,0,0.001,34,0
qYJ9PKSBSUE,"Baseball en Guadalajara, Asi se Viven Las Finales","Sep 23, 2021",718,4,0.0591,0,,16,12.5
FhcPpxN4Dzw,¿Que hacer en Guadalajara con tu pareja?,"Feb 5, 2024",61,4,0.0168,0,0.007,37,5.41
dmTcq6fCPXQ,¿Como Hacer Una Faustina? || Absa Garcia,"May 14, 2020",491,4,0.2818,0,0.943,12,0
4uRNpb2w_Jg,Café de Oaxaca,"Mar 17, 2022",30,4,0.0124,0,0.009,28,0
6kHTW8gDvFU,¿Que se convierta en influencer?,"Apr 10, 2024",16,3,0.0094,0,0.001,2,50
jrlXMu0kxv0,Y así obtuve mi jersey de México,"Jun 9, 2026",90,3,0.0279,0,0.001,39,0
y0UPIniOGyM,Julián Ornelas usando los nuevos jerseys de Charros 2026,"Apr 14, 2026",17,3,0.0059,0,0.001,18,5.56
D1DDcCGYoyM,HISTORIA Y COMO PREPARAR UNA FAUSTINA DE SAN GABRIEL JALISCO 2019,"May 9, 2019",353,3,0.1373,0,0.012,60,0
tSrJTwkJKWM,"Starbucks reserve roastery en New York, una de mis cafeterías favoritas de todo el mundo.","Sep 24, 2023",25,3,0.01,0,0.009,29,6.9
BRSBbUPjM_E,San Gabriel Jalisco Inaguración de las Fiestas 2022,"Jan 13, 2022",297,3,0.092,0,0.076,35,5.71
Ih-oihu-NY0,"Lo mejor del iPhone del 15 pro max, es su chip!  #iphone15 #apple #iphone15pro #iphone15promax","Sep 19, 2023",59,3,0.0051,0,0.003,15,0
5bM2xMTWswI,Cosas raras que me emocionan de correr en #disney,"Feb 12, 2026",5,3,0.0005,0,,8,0
O4tIKOQ6KNg,¿Cómo hacer un café frío?,"Jun 30, 2022",20,3,0.007,0,0.002,14,0
iYiSAZA6Lio,La casa más navideña de todo Guadalajara,"Dec 25, 2022",606,3,0.034,0,0.375,34,2.94
ZLm9V4TrGXU,Que cámara usar para tomar fotos en el baseball,"May 20, 2023",49,3,0.014,0,0,23,0
Cw98n03vFBQ,Corrimos un medio maratón en Guadalajara! Así fue mi experiencia,"Mar 2, 2023",58,3,0.0062,0,0.001,23,8.7
svhta2GolWQ,¿Cómo hacer salsa de chilaquiles?,"Aug 26, 2021",16,3,0.0091,0,0.001,19,0
umJA8DNH1yU,"¿Que hacer en Guadalajara un domingo? Si Veniste a conocer Guadalajara por el mundial de futbol,","Jun 10, 2026",30,3,0.0101,0,0.001,13,0
gGAP-K2ZPeU,Pasen tips para ahorrar,"Nov 4, 2024",9,3,0.0046,0,0.001,3,0
VYRnuVkSvb4,Un fin de Semana en Mazamitla,"Mar 24, 2022",37,3,0.0112,0,0.001,21,4.76
WmBZ-IdJzjo,Como editar audio en adobe audition,"May 12, 2024",366,3,0.1331,0,0.011,22,0
BTsfbp-GgJc,Me sentí estafado,"Jun 8, 2026",36,3,0.0103,0,0.001,8,0
 -EhC0lfv1rI,Mi Experiencia Estudiando En Linea - Ceti Colomos || Absa Garcia,"Jul 16, 2020",950,3,0.1812,0,,78,0
Pu4tM_rGl4M,Cómo lanzar una moneda en la Trevi fountain?,"Aug 19, 2023",31,2,0.0022,0,0.002,52,0
VjBDVIUaD4U,No habrá tequila suficiente,"Jun 19, 2026",33,2,0.0035,0,0.002,15,0
brkcIkbNK2o,Lugares donde quiero estar,"Jun 11, 2026",48,2,0.0011,0,,8,0
jHH8vfcG108,Y OCHOA es banca,"Jun 11, 2026",13,2,0.0021,0,0.001,11,0
iIOhIEtnpAU,Apple series 9 ¿vale la pena? #applewatch #applewatchseries9,"Sep 16, 2023",60,2,0.0008,0,,7,0
nyHphGdCjSg,Ya puedes grabar llamadas en iOS 18 desde el teléfono #ios18 #ios18feature,"Sep 25, 2024",52,2,0.0025,0,,15,0
LAHSwQ--dDQ,Fiestas San Gabriel 2019 Dia De La Funcion,"Feb 14, 2019",1425,2,0.2239,0,0.013,19,5.26
dxTQH3cGyTE,"El Mejor Estabilizador de video ""Smove"" para iPhone X / 8 Plus / 7 / 6s Plus","Mar 23, 2018",694,2,0.0047,,,14,14.29
kEFx7aV5rWQ,¿Qué Es Lo Más Me Gusta De San Gabriel?,"Feb 14, 2020",155,2,0.0842,0,,10,10
Z8uhLey35aQ,Statue of the liberty 🗽 New York,"Feb 4, 2023",11,2,0.0042,0,0.009,0,
8DRUImK3nbk,San Gabriel Jalisco Fiestas 2020 Certamen Señorita San Gabriel,"Feb 7, 2020",1258,2,0.6984,0,0.047,27,0
kVCIFHITOqM,¿Cuantas acciones de Apple necesitas para que los dividendos te paguen un iPhone?#Apple #iphone16,"Sep 11, 2024",61,2,0.002,0,,5,0
Kt9MwSFrd_4,Medio maratón del Atlas unboxing #shorts #running,"Aug 31, 2024",61,2,0.0054,0,0.001,6,0
Wuk03LWyNIw,"Por mi papa y mi abuelita amo SAN GABRIEL, JALISCO","Jan 20, 2022",291,2,0.0914,0,0.02,25,4
13X9DSjXtvw,Ya puedes pausar cuando grabes un video en iOS 18,"Sep 19, 2024",60,2,0.0018,0,0.002,1,0
9wKOfztT0dk,Creativo ¿Vale la pena el libro de Roberto Martinez?¿Realmente sirven sus consejos?,"Apr 15, 2021",1103,2,0.1695,0,0.077,29,0
ZtkPbLQmYVg,San Gabriel Jalisco: Sopes y Salsa En Molcajete | Absa García,"Apr 19, 2017",236,2,0.1131,0,0.193,67,1.49
PUET6-OZLpY,San Gabriel Jalisco Mis Anecdotas En San Gabriel,"May 27, 2021",1070,2,0.3201,0,0.023,30,3.33
KSRO0mAultM,"San Gabriel Jalisco , El mejor viernes de las Fiestas 2018. ¿Que pasó ayer en San Gabriel?!","Feb 23, 2018",696,2,0.2038,0,,22,9.09
vuqZ9ojQ_wg,Charros Béisbol mi jersey favorito,"Apr 14, 2026",37,2,0.0177,0,0.001,6,0
EUpiZ-Hbk0U,¿Qué comer en el estadio de los Mis Mariachis de Guadalajara?,"Jul 8, 2021",978,2,0.3415,0,0.137,41,4.88
jc-dqLHcZh4,My YouTube filming set up - canon t8i + accessories #youtubecreator,"Mar 11, 2024",12,2,0.0012,0,,8,0
wNqFH2mU2ek,Xiaomi Mi True Wireless Earbuds Basic 2   Unboxing y primeras impresiones,"Jan 22, 2021",449,2,0.0093,0,0.018,6,0
kKH-gCjZE0I,Oasis cantando whatever en CDMX 2025,"Sep 17, 2025",26,2,0.0076,0,0.001,17,5.88
er6x0XXs5cc,Me perdí tratando de ser alguien que el internet quería que fuera,"Dec 12, 2025",171,2,0.0632,0,0.187,48,4.17
y_toW3LvxRE,Por Ti Volare-Mariachi Vargas De Tecalitlán | Entre Amigos San Gabriel Jalisco 2017,"Jan 10, 2017",717,2,0.2425,0,0.217,52,1.92
qV649L4fwq0,¡Comprame un Café! Absa García,"Mar 19, 2021",507,2,0.2634,0,0.185,13,0
7AdGAFjlTS0,"San Gabriel Jalisco, Fiestas 2018. Certamen Señorita San Gabriel","Feb 2, 2018",637,2,0.0293,0,0.415,20,5
TytVAWcdOHQ,"SAN GABRIEL, JALISCO VS GUADALAJARA (DIFERENCIAS ENTRE EL CAMPO Y LA CIUDAD)","Jan 19, 2018",633,2,0.1223,0,0.543,37,2.7
A-W_v6bJLkg,Logitech MX MASTER 3 ¿Vale la pena? Review en Español,"Oct 14, 2021",302,1,0.0057,0,,5,0
j3YE5KNRB9w,Los Mejores Lentes Para TU iPhone,"Jan 12, 2018",725,1,0.0901,0,,9,11.11
BA3IC2uc2g4,Me hice más rápido para correr,"May 12, 2026",89,1,0.0005,0,,7,0
aYNGLB72HWQ,El Mejor Lugar Para Conocer Gratis En San Diego | AbsaxUsa,"Aug 14, 2017",120,1,0.0122,0,,19,0
JwpYKEWFRAU,Así Se Vive La Navidad En México | Absa García,"Dec 26, 2017",669,1,0.0047,0,,6,16.67
teAddoiM3zk,¿Vale la pena el iPhone 15?,"Sep 14, 2023",60,1,0.0146,0,0.009,3,33.33
dP4hqxz9Yzo,Estudiantes del Ceti Colomos Mexicanos Cambiando el Mundo (ft Oxitree),"May 13, 2021",6722,1,0.0096,0,0.002,32,3.13
r5QepTK0nbA,¿Qué hacer en Guadalajara? Expo de artesanos,"Apr 17, 2022",706,1,0.007,0,,18,5.56
UR8RjOJe6Dg,Recap medio maratón de Guadalajara 2025,"Feb 26, 2025",140,1,0.0029,0,0.001,30,0
9PysFn2jc1s,Que Es El Machine Learning Podcast Cafe Con Absa,"Jul 5, 2020",2161,1,0.0049,0,,5,20
Ut8opx13O2M,Los mejores lugares turísticos de New York 🗽 para conocer en tu primera visita,"Aug 12, 2023",49,1,0.0135,0,0.001,10,0
BvqrgmwlZ_E,Oasis en CDMX en el poznan,"Sep 17, 2025",31,1,0.0051,0,0.001,28,3.57
vZnvGom25Zg,"Gatorade G15, mi experiencia","Nov 9, 2025",14,1,0.0006,0,,15,0
pd45MzMgBro,Starbucks reserve bar New York ¿vale la pena?,"Sep 29, 2023",61,1,0.0001,0,,7,0
Xx9T6YsoKVo,iOS 14 Review Mi Experiencia de Uso en Español,"Jul 9, 2020",1010,1,0.0064,0,,3,0
Zu_mDgspLEM,Keychron K2  unboxing en Español,"Dec 2, 2021",425,1,0.0171,0,0.001,20,5
FfVicbaJMWw,"Nadie le gana a los camiones de Guadalajara, México 🇲🇽","Jul 28, 2023",10,1,0.0002,0,,22,0
JOPYr54isoM,Kit medio maratón de Guadalajara 2025,"Feb 21, 2025",115,1,0.0006,0,,29,0
vZz4AevYfdg,"Café con Absa, libros que estoy leyendo en la caminadora parte 1","Aug 8, 2023",60,1,0.004,0,0.001,9,0
jV8bmXNF6ro,Conociendo La Casa Mas Navideña De Todo Guadalajara || Absa Garcia,"Dec 27, 2019",543,1,0.005,,,25,4
vOuHo8jB6oc,El McDonald’s del Vaticano tiene postres chidos,"Jul 26, 2023",43,1,0.0006,0,0.001,32,3.13
_M2C6FJGdOc,Fui el último del maratón,"May 9, 2023",29,1,0.005,0,0.001,3,0
i7HSViZmOko,"iPhone 14 pro max, se ve hermoso!","Sep 18, 2022",5,1,0.0005,0,,4,0
fixqKOXkf1k,"Fiestas San Gabriel 2019, Dia De La Vispera De La Funcion","Feb 7, 2019",1928,1,0.349,0,0.053,22,4.55
WunsvxBs02U,"Me corte el cabello en Roma, Italia 🇮🇹","May 21, 2024",21,1,0.0006,0,,20,0
Wu6xSBnHlNE,Los mandamientos de las inteligencias artificiales!,"Jun 23, 2023",60,1,0.0102,0,0.001,3,0
3n8zr_GRoik,"¿Como conocer Londres, Inglaterra en un día?","Aug 16, 2023",54,1,0.0005,0,,34,0
dWtEieavm_0,Charros de Jalisco anillo de campeones,"Dec 3, 2025",78,1,0.016,0,0.008,8,12.5
XBtA7QdxQQM,Como Hacer Un Canal De Cubos Rubik Exitoso || Podcast Cafe Con Absa (ft ArSpeedCuber),"May 17, 2020",2908,1,0.0105,0,,22,0
T4sqB2nPNTc,"Charros de Jalisco, llévate a Julián Ornelas","Oct 29, 2025",21,1,0.0023,0,0.001,21,4.76
anjA6yoch1s,¿Cómo editar audio para podcast 2021?,"Aug 19, 2021",362,1,0.0651,0,0.013,43,2.33
2C3aTUY_k9I,¿Donde Comer en Guadalajara? Mi Sugerencia Yapa,"Apr 8, 2021",465,1,0.013,0,0.004,12,8.33
BvbSMuPeXys,"G15 Gatorade Guadalajara, Kit de corredor","Nov 8, 2025",83,1,0.0002,0,,22,0
Uz0p_DNAZG4,"San Gabriel Jalisco, Fiestas 2k18 Domingo. El mejor pan es de San Gabriel.","Feb 16, 2018",518,1,0.0035,0,,6,16.67
u6yAfOaBmKM,Conociendo Griffith Observatory en Los Angeles California | Absa Garcia,"Jul 26, 2018",531,1,0.0322,0,0.012,17,0
Jfw84HHNYrE,¿El Apple Pencil tiene Apple care?,"Jul 19, 2024",7,1,0.0005,0,,3,0
38r5-ylfygU,Ya habrá con quien discutir de eso,"May 28, 2026",13,1,0.001,0,,6,0
cWnZMNlmHqE,"San Gabriel Jalisco, Ultimo Día de las fiestas 2018","Mar 2, 2018",974,1,0.0042,0,,14,7.14
ZPlV5iUn9HM,"06. Deep Work, ¿Realmente sirve?","Mar 3, 2024",1316,1,0.0102,0,,26,3.85
 -re5-aGNrqg,Me frustre y me perdí con tanta tecnología en mi día a día,"Jul 26, 2023",47,1,0.0053,0,0,1,0
940qYoOrLFg,"IOT, una tendencia no explotada aún segun la inteligencia artificial","Feb 13, 2023",60,1,0,0,,1,0
9e3xeptjoQE,"Trevi fountain, cual es su historia?","Aug 19, 2023",61,1,0.0167,0,,0,
VNOKB1kvoA8,Agua gratis en Roma Italia 🇮🇹,"Feb 22, 2024",28,1,0.006,0,0.001,7,0
q6rW7ML4XGI,Que empresa esta dominando la inteligencia artificial!!!,"Jun 21, 2023",60,1,0.0036,0,0.001,7,14.29
i6s04I1hzSY,Encuentra un hobby que te haga dejar el celular aun lado para que conectes contigo mismo,"Jul 30, 2023",59,1,0.0003,0,,6,0
V2SZss901Ws,Correr se está volviendo un plátano muy caro,"Oct 6, 2024",5,1,0.0013,0,,9,11.11
1dQKqIOk9yc,La regla del 80% en el Perfeccionismo de la vida || Podcast Cafe Con Absa,"Apr 4, 2021",2676,1,0.0003,0,,10,10
lfv-zzRJt7E,Sacando los pasos prohibidos,"Feb 3, 2023",16,1,0.0018,0,0.001,4,0
A7TeCoy3vt0,Mariachis de Guadalajara ¿Cómo se viven sus partidos?,"Jun 10, 2021",924,1,0.1138,0,0.019,16,6.25
scN4kCAQv3Y,¿Cómo correr un maratón? Mi Experiencia,"Dec 1, 2022",1243,1,0.0008,0,,11,9.09
KdiPHeAZRvM,Todo es cuestión de Actitud (ft Juan Neri) Ex Cetiano,"Apr 29, 2021",4311,1,0.0972,0,,10,0
xbZ9pSY-o8g,003. Mi primera quincena..,"Nov 6, 2024",539,1,0.0116,0,0.064,22,4.55
3PWkILKB32U,A mi déjenme ser feliz con mi pan y mi café,"Jul 10, 2023",16,1,0.0011,0,,6,0
4Nuu5M2UoBM,Si saca a Messi le compro una Dyson,"May 10, 2026",123,1,0.0002,0,,10,0
Dt4JKr1fwLE,A qué fregados se dedican para ver un partido del mundial,"Jun 19, 2026",30,1,0.0034,0,0.001,18,0
